track_name,artist_name,MOOD,Unnamed: 0,duration_ms,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Skinny Love,Birdy,SAD,31279,201080,2011,60,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.1689999999999999,166.467
I Lost a Friend,FINNEAS,SAD,384350,237020,2019,65,0.453,0.208,11,-11.917,1,0.22,0.585,0.0,0.119,0.218,169.326
listen before i go,Billie Eilish,SAD,406393,242652,2019,75,0.319,0.0561,0,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764
Irreplaceable,Zak Manley,SAD,309506,189634,2018,50,0.528,0.238,10,-9.613,1,0.0847,0.62,0.0,0.12,0.736,152.702
i love you,Billie Eilish,SAD,406386,291796,2019,78,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446
goodbye,Billie Eilish,SAD,406472,119410,2019,68,0.153,0.138,6,-21.877,0,0.0503,0.837,0.55,0.254,0.0503,74.318
idontwannabeyouanymore,Billie Eilish,SAD,271630,203569,2017,79,0.483,0.412,7,-8.461,1,0.0402,0.737,0.0,0.116,0.247,170.163
lovely (with Khalid),"Billie Eilish, Khalid",SAD,87747,200186,2018,89,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284
Out Of Love,Alessia Cara,SAD,327783,227693,2018,70,0.481,0.267,7,-9.249,1,0.0339,0.8,0.0,0.249,0.137,117.64
Bad Habit,Ben Platt,SAD,414515,262760,2019,46,0.339,0.495,5,-6.374,1,0.0325,0.379,0.0,0.102,0.121,134.336
Words Fail,Ben Platt,SAD,301993,351920,2017,51,0.368,0.237,0,-9.49,1,0.0389,0.792,0.0,0.122,0.328,95.871
The Night We Met,Lord Huron,SAD,87447,208212,2015,75,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.6409999999999999,0.1,86.99700000000001
Apocalypse,Cigarettes After Sex,SAD,255746,290147,2017,81,0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473
Get You The Moon (feat. Snøw),"Kina, Snøw",SAD,87772,179080,2018,85,0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.144,0.0895,118.917
Can We Kiss Forever?,"Kina, Adriana Proenza",SAD,97549,187932,2018,84,0.522,0.128,4,-18.717,1,0.0357,0.894,0.026,0.0941,0.124,109.986
Someone You Loved,Lewis Capaldi,SAD,1910,182160,2019,84,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891
Dil Dhadakne Do ,Joi Barua & Suraj Jagan,HAPPY,1141104,230319,2011,59,0.778,0.599,2,-4.758,1,0.032,0.0705,0.0,0.59,0.949,116.951
Ek Ladki Bheegi Bhaagi si,Kishore Kumar,HAPPY,17994,236800,1958,12,0.563,0.455,4,-7.01,0,0.0551,0.8079999999999999,0.0,0.154,0.892,120.784
Ratchet Happy Birthday,Drake,HAPPY,341436,207307,2018,52,0.657,0.571,2,-12.519,1,0.139,0.11,0.00123,0.0735,0.622,167.958
Love On ,Selena Gomez,HAPPY,1546,229080,2015,69,0.672,0.593,11,-4.01,0,0.0304,0.0223,0.0,0.214,0.438,98.02
I Know ?,Travis Scott,HAPPY,341757,156886,2018,63,0.804,0.763,2,-5.48,1,0.0519,0.0678,0.0,0.368,0.0585,136.052
"Thank u, next",Ariana Grande,HAPPY,321252,207320,2018,50,0.743,0.662,1,-5.745,1,0.0534,0.268,1.36e-06,0.102,0.408,107.027
Liggi,Ritviz,HAPPY,493870,181176,2021,67,0.786,0.667,5,-8.272,1,0.054,0.0112,0.053,0.074,0.688,102.046
Udd Gaye,Ritviz,HAPPY,383944,180414,2019,64,0.595,0.817,11,-6.187,0,0.0474,0.000712,0.0386,0.142,0.483,144.961
Chalo Chalein,Ritviz,HAPPY,507655,184371,2021,56,0.461,0.5,1,-9.828,1,0.0614,0.00245,0.03,0.116,0.572,76.176
Baaraat,Ritviz,HAPPY,494038,222096,2021,61,0.678,0.449,4,-9.379,0,0.0869,0.477,0.0,0.536,0.606,100.033
Sage,Ritviz,HAPPY,383999,230204,2019,59,0.663,0.412,5,-8.195,0,0.364,0.00434,0.019,0.215,0.356,98.023
Aaj Na,Ritviz,HAPPY,561136,193426,2022,60,0.659,0.345,11,-8.464,1,0.107,0.106,0.0,0.107,0.338,84.761
Roz,Ritviz,HAPPY,507650,219240,2021,56,0.833,0.639,5,-6.964,1,0.0676,0.152,0.0,0.101,0.448,102.989
Jeet,Ritviz,HAPPY,398194,184848,2019,54,0.787,0.734,0,-6.465,1,0.0703,0.364,0.000995,0.0625,0.644,98.989
doll,Shrimp,SCARED,385245,142452,2019,53,0.454,0.725,2,-8.24,1,0.0343,0.126,0.618,0.0808,0.129,155.0
talk every night,dyl dion,SCARED,537689,130351,2022,44,0.705,0.5,9,-9.164,1,0.0277,0.351,0.0172,0.237,0.68,105.016
Moonboy,Bennett Coast,SCARED,428990,132231,2020,53,0.507,0.375,9,-10.637,1,0.0256,0.855,0.00981,0.11,0.0519,90.006
Problems,Pinegrove,SCARED,162990,80490,2015,51,0.587,0.746,2,-5.435,1,0.0388,0.00771,2.17e-05,0.144,0.313,125.429
could you love me while i hate myself,Zeph,SCARED,508529,60333,2021,74,0.68,0.406,9,-11.313,1,0.0414,0.782,0.00019,0.11,0.551,119.901
Baby,Brandon,SCARED,429092,111711,2020,51,0.641,0.242,10,-10.066,1,0.0757,0.879,0.0,0.394,0.409,75.99
Mary,Alex G,SCARED,33749,197733,2012,71,0.693,0.467,4,-9.558,0,0.043,0.0497,0.452,0.107,0.402,105.958
Animal i have become three days grace,Three Days Grace,ANGRY,881831,231400,2006,72,0.553,0.853,8,-3.668,1,0.0339,0.000684,0.0,0.126,0.506,122.023
Wake Me Up,Avicil,ANGRY,1303,247426,2013,6,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08
Killing ion the name,Rage,ANGRY,1117128,292400,2011,9,0.241,0.929,7,-4.738,1,0.0546,0.00697,0.0,0.387,0.604,86.505
Since I been gone ,Kely  Clarkson,ANGRY,594,188960,2004,71,0.662,0.739,9,-5.354,0,0.0322,0.00206,0.0603,0.113,0.382,130.999
Arijit Singh ,Sajni,ANGRY,406948,325460,2019,32,0.499,0.48,1,-6.45,1,0.0415,0.619,0.0,0.319,0.577,99.886
let it happen,Tame Impala ,ANGRY,87524,467587,2015,74,0.602,0.8809999999999999,1,-5.875,0,0.0443,0.00462,0.0266,0.111,0.5770000000000001,125.012
What a beautiful name,Hillsong,ANGRY,125824,238200,2017,64,0.424,0.506,2,-5.877000000000002,1,0.0284,0.201,0.0,0.11,0.138,135.90200000000002
Levels,Avicii,,106367,338867,2011,59,0.601,0.8340000000000001,1,-6.573,0,0.0358,0.0295,0.888,0.34,0.352,125.991
